Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleHealthCarePosition.json	1464	0	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	681	1835	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleHospital.json	1826	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	665	1716	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleIsPaperCopy.json	1035	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	1500	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleReference.json	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	929	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleSection.json	1822	0	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	921	1702	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleUserRoleDepartment.json	1866	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	782	1671	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleUserRoleId.json	1432	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	1828	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleUserRoleLastUpdated.json	1474	0	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	740	1833	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleUserRoleName.json	1440	2	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	841	1522	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerRoleWard.json	1810	0	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	775	1719	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSPractitionerSpecialist.json	1021	0	0	3	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	431	951	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSR4Encounter.json	31748	4	0	162	0	0	0	0	0	81	0	0	0	0	0	0	0	2	0	0	12053	2597	0	1	0	33	1	1
fsh-generated/resources/StructureDefinition-DIPSRelatedPerson.json	10887	3	0	151	0	0	0	0	0	43	0	0	1	0	0	0	0	2	0	0	7355	2788	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-DIPSRelatedPersonAdditionalInformation.json	1069	0	0	23	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	363	1523	0	0	0	1	0	1
